institution,csrankings_name,dblp_pid,action,note,confidence,reason,acknowledged,dblp_url,homepage
IIITD,Pankaj Jalote,j/PankajJalote,,,REVIEW,DBLP affiliation does not mention this institution,,https://dblp.org/pid/j/PankajJalote,https://www.iiitd.edu.in/~jalote
IIITH,Deepak Gangadharan,98/7452,,,REVIEW,DBLP affiliation does not mention this institution,,https://dblp.org/pid/98/7452,https://www.iiit.ac.in/faculty/deepak-gangadharan
IIITH,Govindarajulu Regeti,27/8325,,,REVIEW,no publications since 2015,,https://dblp.org/pid/27/8325,https://iiit.ac.in/people/faculty/gregeti
IIITH,Kalluri R. Sarma,02/6803,,,REVIEW,no publications since 2015,,https://dblp.org/pid/02/6803,https://www.iiit.ac.in/people/faculty/krsarma
IIITH,Kannan Srinathan,,,,REVIEW,no exact DBLP author-name match,,,https://www.iiit.ac.in/people/faculty/srinathan
IIITH,R. K. Bagga,57/5018,,,REVIEW,no publications since 2015,,https://dblp.org/pid/57/5018,https://www.iiit.ac.in/people/faculty/rbagga
IIITH,Raghu Reddy,,,,REVIEW,no exact DBLP author-name match,,,http://faculty.iiit.ac.in/~raghu.reddy
IIITH,Rambabu Kalla,164/3332,,,REVIEW,no publications since 2015,,https://dblp.org/pid/164/3332,https://www.iiit.ac.in/people/faculty/rambabukalla
IISC,Chiru Bhattacharyya,,,,REVIEW,no exact DBLP author-name match,,,http://www.csa.iisc.ac.in/~chiru
IISC,Deepak D'Souza,,,,REVIEW,no exact DBLP author-name match,,,http://www.csa.iisc.ac.in/~deepakd
IISC,Dilip P. Patil,,,,REVIEW,no exact DBLP author-name match,,,http://www.math.iisc.ernet.in/~patil
IISC,Filbert Minj,45/1508,,,REVIEW,no publications since 2015,,https://dblp.org/pid/45/1508,https://www.serc.iisc.ac.in/faculty
IISC,Matthew Jacob Thazhuthaveetil,,,,REVIEW,no exact DBLP author-name match,,,http://www.csa.iisc.ac.in/~mjt
IISC,Matthew Thazhuthaveetil,,,,REVIEW,no exact DBLP author-name match,,,http://www.csa.iisc.ac.in/~mjt
IISC,Narayanas Balakrishnan,,,,REVIEW,no exact DBLP author-name match,,,https://www.serc.iisc.ac.in/faculty/prof-n-balakrishnan
IISC,R.C. Hansdah,,,,REVIEW,no exact DBLP author-name match,,,http://www.csa.iisc.ac.in/people/people-faculty-hansdah.html
IISC,Y. Narahari,,,,REVIEW,no exact DBLP author-name match,,,http://www.csa.iisc.ac.in/~hari
IISC,Yadati Narahari,,,,REVIEW,no exact DBLP author-name match,,,http://www.csa.iisc.ac.in/~hari
